date	close
2014-09-09T21:20:28+02:00	 223
2014-09-09T21:20:31+02:00	 224
2014-09-09T21:20:34+02:00	 221
2014-09-09T21:20:37+02:00	 221
2014-09-09T21:20:40+02:00	 220
2014-09-09T21:20:43+02:00	 219
2014-09-09T21:20:46+02:00	 217
2014-09-09T21:20:49+02:00	 218
2014-09-09T21:20:52+02:00	 217
2014-09-09T21:20:55+02:00	 221
2014-09-09T21:20:58+02:00	 221
2014-09-09T21:21:01+02:00	 221
2014-09-09T21:21:04+02:00	 219
2014-09-09T21:21:07+02:00	 224
2014-09-09T21:21:10+02:00	 220
2014-09-09T21:21:13+02:00	 219
2014-09-09T21:21:16+02:00	 222
2014-09-09T21:21:19+02:00	 224
2014-09-09T21:21:22+02:00	 222
2014-09-09T21:21:25+02:00	 219
2014-09-09T21:21:28+02:00	 220
2014-09-09T21:21:31+02:00	 219
2014-09-09T21:21:34+02:00	 221
2014-09-09T21:21:37+02:00	 222
2014-09-09T21:21:40+02:00	 223
2014-09-09T21:21:43+02:00	 223
2014-09-09T21:21:46+02:00	 219
2014-09-09T21:21:49+02:00	 218
2014-09-09T21:21:52+02:00	 221
2014-09-09T21:21:55+02:00	 218
2014-09-09T21:21:58+02:00	 217
2014-09-09T21:22:01+02:00	 222
2014-09-09T21:22:04+02:00	 218
2014-09-09T21:22:07+02:00	 220
2014-09-09T21:22:10+02:00	 221
2014-09-09T21:22:13+02:00	 218
2014-09-09T21:22:16+02:00	 221
2014-09-09T21:22:19+02:00	 222
2014-09-09T21:22:22+02:00	 222
2014-09-09T21:22:25+02:00	 222
2014-09-09T21:22:28+02:00	 222
2014-09-09T21:22:31+02:00	 221
2014-09-09T21:22:34+02:00	 217
2014-09-09T21:22:37+02:00	 217
2014-09-09T21:22:40+02:00	 217
2014-09-09T21:22:43+02:00	 219
2014-09-09T21:22:46+02:00	 221
2014-09-09T21:22:49+02:00	 217
2014-09-09T21:22:52+02:00	 218
2014-09-09T21:22:55+02:00	 221
2014-09-09T21:22:58+02:00	 218
2014-09-09T21:23:01+02:00	 222
2014-09-09T21:23:04+02:00	 217
2014-09-09T21:23:07+02:00	 222
2014-09-09T21:23:10+02:00	 220
2014-09-09T21:23:13+02:00	 218
2014-09-09T21:23:16+02:00	 221
2014-09-09T21:23:19+02:00	 219
2014-09-09T21:23:22+02:00	 217
2014-09-09T21:23:25+02:00	 220
2014-09-09T21:23:28+02:00	 220
2014-09-09T21:23:31+02:00	 217
2014-09-09T21:23:34+02:00	 221
2014-09-09T21:23:37+02:00	 217
2014-09-09T21:23:40+02:00	 221
2014-09-09T21:23:43+02:00	 217
2014-09-09T21:23:46+02:00	 222
2014-09-09T21:23:49+02:00	 218
2014-09-09T21:23:52+02:00	 219
2014-09-09T21:23:55+02:00	 219
2014-09-09T21:23:58+02:00	 216
2014-09-09T21:24:01+02:00	 221
2014-09-09T21:24:04+02:00	 220
2014-09-09T21:24:07+02:00	 217
2014-09-09T21:24:10+02:00	 219
2014-09-09T21:24:13+02:00	 221
2014-09-09T21:24:16+02:00	 220
2014-09-09T21:24:19+02:00	 217
2014-09-09T21:24:22+02:00	 218
2014-09-09T21:24:25+02:00	 221
2014-09-09T21:24:28+02:00	 220
2014-09-09T21:24:31+02:00	 221
2014-09-09T21:24:34+02:00	 218
2014-09-09T21:24:37+02:00	 222
2014-09-09T21:24:40+02:00	 218
2014-09-09T21:24:43+02:00	 219
2014-09-09T21:24:46+02:00	 223
2014-09-09T21:24:49+02:00	 221
2014-09-09T21:24:52+02:00	 222
2014-09-09T21:24:55+02:00	 219
2014-09-09T21:24:58+02:00	 222
2014-09-09T21:25:01+02:00	 223
2014-09-09T21:25:04+02:00	 218
2014-09-09T21:25:07+02:00	 223
2014-09-09T21:25:10+02:00	 222
2014-09-09T21:25:13+02:00	 223
2014-09-09T21:25:16+02:00	 218
2014-09-09T21:25:19+02:00	 218
2014-09-09T21:25:22+02:00	 220
2014-09-09T21:25:25+02:00	 231
2014-09-09T21:25:28+02:00	 225
2014-09-09T21:25:31+02:00	 226
2014-09-09T21:25:34+02:00	 227
2014-09-09T21:25:37+02:00	 223
2014-09-09T21:25:40+02:00	 220
2014-09-09T21:25:43+02:00	 221
2014-09-09T21:25:46+02:00	 222
2014-09-09T21:25:49+02:00	 219
2014-09-09T21:25:52+02:00	 222
2014-09-09T21:25:55+02:00	 219
2014-09-09T21:25:58+02:00	 219
2014-09-09T21:26:01+02:00	 222
2014-09-09T21:26:04+02:00	 221
2014-09-09T21:26:07+02:00	 218
2014-09-09T21:26:10+02:00	 220
2014-09-09T21:26:13+02:00	 223
2014-09-09T21:26:16+02:00	 218
2014-09-09T21:26:19+02:00	 222
2014-09-09T21:26:22+02:00	 221
2014-09-09T21:26:25+02:00	 220
2014-09-09T21:26:28+02:00	 223
2014-09-09T21:26:31+02:00	 219
